	Approach	Dataset	Users	Items	Interactions	k	VarianceNDCG	VarianceExposure	VarianceExposureEqWeight	Entropy	Gini	MMS	IIF
96	Lorenz	amazon	453	436	500	20	0.0003564663231221194	1284.1449164809635	8090.800143085597	0.7912980020898203	0.956157286134904	0.07568807339449542	0.0015996709623855188
97	Baseline	amazon	607	585	700	20	0.0	1131.854426997483	10592.401811673604	0.5427713522638775	0.8411970583331077	0.041025641025641026	0.0014269817531619836
98	Lorenz	amazon	607	585	700	20	0.00046207874612418716	1654.1474267215347	9621.547110818907	0.7311140303441269	0.9629909417433666	0.07008547008547009	0.0011566385659648752
99	Baseline	amazon	825	769	1000	20	0.0	1607.9121667585246	15331.93080707047	0.518841894120431	0.8522399615995727	0.02860858257477243	0.0011481506632140838
100	Lorenz	amazon	825	769	1000	20	0.0005266056594639877	2424.155404923969	15232.630416953432	0.715529609864857	0.9737740553653116	0.044213263979193757	0.0007956490535813405
101	Baseline	amazon	1156	1040	1500	20	0.0	2314.5021762575775	21491.74866863905	0.5106134624795534	0.8612189322818892	0.023076923076923078	0.0009028048794543687
102	Lorenz	amazon	1156	1040	1500	20	0.0007515882009549142	3481.830962579922	21817.08328402366	0.7070188986112658	0.9802497829038657	0.035576923076923075	0.0005865107597830188
103	Baseline	black_friday	282	261	300	20	0.0	535.0712829495849	4841.387501651474	0.6105108821173276	0.8043198292931005	0.08812260536398467	0.004059362614346218
104	Lorenz	black_friday	282	261	300	20	0.0003000059116163842	768.4137223615896	4556.391333069099	0.7889074731297564	0.923196934420951	0.1111111111111111	0.0022935583042546833
105	Baseline	black_friday	328	305	350	20	0.0	632.6238953530302	5925.023703305562	0.5847250139941322	0.8148100196669298	0.06885245901639345	0.0034863603538992237
106	Lorenz	black_friday	328	305	350	20	0.00031372414308892616	884.0529408110011	5350.866326256382	0.7984391908556916	0.9325125658433846	0.09836065573770492	0.0020852245109780985
107	Baseline	black_friday	367	346	400	20	0.0	708.6301556663492	6624.867553209263	0.5736432425059353	0.8218962738305975	0.06069364161849711	0.003140129930971685
108	Baseline	black_friday	455	426	500	20	0.0	889.6668879735975	8379.151006193655	0.5560840219813549	0.8317177277953972	0.04929577464788732	0.002572925811163472
109	Lorenz	black_friday	455	426	500	20	0.0003983589350616223	1336.1081141185564	8303.32002027816	0.7958851935951738	0.9555886433629325	0.07276995305164319	0.0014409398607293027
110	Baseline	black_friday	611	546	700	20	0.0	1216.8855114166288	11228.766963195532	0.550366340256212	0.843822763397379	0.04395604395604396	0.002093880809929053
111	Lorenz	black_friday	611	546	700	20	0.0003983923645489941	1859.2230518481197	11746.415314843887	0.7587449900009002	0.9645260108463117	0.05311355311355311	0.0011306273117191884
112	Baseline	black_friday	841	716	1000	20	0.0	1803.2068993305058	17198.227583408756	0.5217325098657299	0.8567362120740387	0.030726256983240222	0.0016579412988979598
113	Lorenz	black_friday	841	716	1000	20	0.0005665410438090238	2511.070760468768	15665.839315252337	0.6913163401447936	0.969047226577322	0.061452513966480445	0.0008552083007940335
114	Baseline	black_friday	1166	948	1500	20	0.0	2575.455851794754	24923.10514696719	0.507505208928632	0.8654898368334175	0.023206751054852322	0.0013551726472975623
115	Lorenz	black_friday	1166	948	1500	20	0.0007780786065950616	3868.270674848014	23410.457467642296	0.748373179970043	0.9782879732920556	0.04430379746835443	0.0007044696567657333
116	Baseline	movielens	236	241	300	20	0.0	387.6624853641655	3756.574714622683	0.6136523136703251	0.7938706225701994	0.08713692946058091	0.0029438040103291945
117	Lorenz	movielens	236	241	300	20	0.00035336698124366074	530.2121471487469	3295.861021676624	0.8375972853326252	0.9112570962861244	0.14107883817427386	0.0029125909399386235
118	Baseline	movielens	266	277	350	20	0.0	425.57596295463577	4008.9287753000826	0.612446491647779	0.8029946944131615	0.08664259927797834	0.0026075292241821853
119	Lorenz	movielens	266	277	350	20	0.0006464775099973495	594.2056157459505	3742.300616455317	0.7880342781620671	0.92303535160985	0.10830324909747292	0.0024274826623395043
120	Baseline	movielens	291	305	400	20	0.0	472.83615954787007	4561.616232195645	0.5961647845120623	0.8114019096130924	0.06885245901639345	0.0024313320908690896
121	Lorenz	movielens	291	305	400	20	0.0007968367384126545	627.252182133666	4106.403117441547	0.7838691181673442	0.9287287211991032	0.10163934426229508	0.0018572184901938578
122	Baseline	movielens	335	359	500	20	0.0	520.7854794886456	5120.94210938773	0.5885088524006704	0.8162605312383282	0.0584958217270195	0.0022803006240416416
123	Lorenz	movielens	335	359	500	20	0.0008828358272204481	695.2382534446908	4143.11481133759	0.7855926064774704	0.9316610475164269	0.10584958217270195	0.001805284408795183
124	Baseline	movielens	411	444	700	20	0.0	618.8957932610632	6186.542610177745	0.5794686203178698	0.8256483074643096	0.0472972972972973	0.0021174750538484775
125	Lorenz	movielens	411	444	700	20	0.0009669665139570443	938.3888078251108	5122.5921597272945	0.7186657573224264	0.9425431945922319	0.10810810810810811	0.0012367206131504132
126	Baseline	movielens	500	546	1000	20	0.0	694.4077049059962	6961.567430127868	0.5864933504943314	0.8272122291852482	0.045787545787545784	0.002027040362275088
127	Lorenz	movielens	500	546	1000	20	0.0016662134072036473	1109.2390603505978	6848.673657234096	0.771224292160237	0.9589202110426487	0.07509157509157509	0.0010576715637478356
128	Baseline	movielens	608	672	1500	20	0.0	796.9953937977142	8458.562358276644	0.5782050785147961	0.8295226291757816	0.03422619047619048	0.002009221230672465
129	Lorenz	movielens	608	672	1500	20	0.0020721025447994466	1272.0799251707479	8077.44033446712	0.8080444087728134	0.9641597218708055	0.06398809523809523	0.0007865620112384947
130	Baseline	yelp	279	284	300	20	0.0	492.1615078568863	4552.115453283079	0.5930407168208668	0.802589895786465	0.07394366197183098	0.0024464160459685665
131	Lorenz	yelp	279	284	300	20	0.0002376362250807744	659.2851898114742	4296.037988494347	0.8181382115148695	0.9270335831524329	0.09507042253521127	0.002107206634087467
132	Baseline	yelp	322	323	350	20	0.0	575.3203446694695	5401.952822321694	0.5807165829952944	0.8114411003493351	0.06811145510835913	0.002147831485667896
133	Lorenz	yelp	322	323	350	20	0.00019462712746120693	739.3911797507254	4419.711336253582	0.7804833244283669	0.9291931863161955	0.11145510835913312	0.0023905659665012812
134	Baseline	yelp	367	368	400	20	0.0	679.195758135591	6304.209002835537	0.5666142027041879	0.8192777778431555	0.057065217391304345	0.0018561005837279892
135	Baseline	yelp	452	456	500	20	0.0	824.2784013926172	7800.315712526932	0.5489253411710663	0.8281031979231296	0.043859649122807015	0.0015341792673000505
136	Lorenz	yelp	452	456	500	20	0.0003214522114219599	1092.443801322676	7389.4472914743	0.7806446684314234	0.9547534513829625	0.08114035087719298	0.0013738104800382629
137	Baseline	yelp	618	619	700	20	0.0	1129.3578562827856	10708.464222611385	0.5301734598342879	0.8404902781359179	0.035541195476575124	0.001170702312646082
138	Lorenz	yelp	618	619	700	20	0.00042941864709188825	1533.5501816566402	9179.585385777782	0.7240525564631749	0.9641735620460218	0.06946688206785137	0.0010435606220801398
139	Baseline	yelp	846	859	1000	20	0.0	1512.8550005516465	14477.449713436183	0.511378727846665	0.847989782894162	0.02677532013969732	0.0008682372454695411
