	Approach	Dataset	Users	Items	Interactions	k	VarianceNDCG	MeanNDCG	VarianceExposure	VarianceExposureEqWeight	Entropy	Gini	MMS	IIF	GGF
999	ITFR	black_friday	1166	948	1500	20	0.00021564925766808028	0.9834167969499434	347.4445745082387	2033.370969751998	0.8753078950094704	0.7355901069732499	0.27531645569620256	0.4320199191570282	8.247190464538271e-09
1001	ITFR	movielens	236	241	300	20	0.00023910246936051038	0.9737136022202126	140.1112892032709	807.3464988550471	0.8719873188669542	0.7105525385935842	0.2572614107883817	0.32830578088760376	2.7248089298691834e-07
1003	ITFR	movielens	236	241	300	20	0.0001656367340530253	0.9751661657152593	134.00901540251115	722.9564573612713	0.8792818179821758	0.6889966581256233	0.27800829875518673	0.330801397562027	2.883119837493341e-07
1005	ITFR	movielens	236	241	300	20	0.00020857463964839594	0.9749110480058478	153.43153356198013	836.607909643429	0.8616038764949842	0.7086541254103397	0.26141078838174275	0.30623266100883484	2.7860009695154575e-07
1007	ITFR	movielens	236	241	300	20	0.0008401102642815785	0.9649188204669418	104.02440132258198	660.3257519670804	0.8852417076207917	0.6693920655868015	0.2987551867219917	0.33678144216537476	2.9627062670234547e-07
1009	ITFR	movielens	236	241	300	20	0.0002379711919328301	0.9737554451144413	107.61196613612485	667.7780341247567	0.8907482345037707	0.6564528724890998	0.3029045643153527	0.3332909941673279	2.5758310903873133e-07
1011	ITFR	movielens	266	277	350	20	0.00024928101850002976	0.9698991988061344	166.41779222567928	882.7915911845587	0.8653969524619772	0.7385292081971768	0.259927797833935	0.3847016990184784	4.3201628589188096e-07
1013	ITFR	movielens	266	277	350	20	0.0007337627771026975	0.9628573111170744	135.23279798405457	680.972096599721	0.8888227532893107	0.672025888650506	0.296028880866426	0.3741075396537781	4.2952482125472135e-07
1015	ITFR	movielens	266	277	350	20	0.00042762967302021406	0.9682636662478251	144.37965111504755	827.7302193434034	0.8684178963155864	0.721290083881929	0.2563176895306859	0.37861138582229614	4.049400694149514e-07
1017	ITFR	movielens	266	277	350	20	0.000645530819089675	0.9659426152299198	126.35758160593646	828.0406886574827	0.8647631091391601	0.7198638436773135	0.259927797833935	0.3959830403327942	4.3511255908783997e-07
1019	ITFR	movielens	266	277	350	20	0.00022753143520936494	0.9699820650799595	154.3652860617473	873.1237211484575	0.8629429442099448	0.7206485142134773	0.24548736462093862	0.39370256662368774	4.3251874632934045e-07
1021	ITFR	movielens	335	359	500	20	0.00026612015813693384	0.9770151522735405	95.00721131611405	540.9699645409332	0.9143210812618543	0.6315143102290108	0.3871866295264624	0.412940114736557	2.4638213402597434e-07
1023	ITFR	movielens	335	359	500	20	0.0003026644281956094	0.9748100159180608	80.31376567441741	530.4017194155849	0.9044178524964528	0.6385590249626052	0.3370473537604457	0.41139644384384155	2.5826634554337267e-07
1025	ITFR	movielens	335	359	500	20	0.00031180472952750394	0.9767235472604162	80.17586425699568	471.6384882178134	0.9164151728288544	0.6053718525267214	0.35097493036211697	0.42825719714164734	2.6952590137236067e-07
1027	ITFR	movielens	335	359	500	20	0.0005808900161747017	0.9708099363965053	110.66465972022968	588.1621650980362	0.9030755249800134	0.6504218607868059	0.3398328690807799	0.42707541584968567	2.8228712012481163e-07
1029	ITFR	movielens	335	359	500	20	0.0003174107349067029	0.9760692219570094	81.81864134603505	491.67191440165743	0.9156440880084278	0.6233217507092822	0.3426183844011142	0.40336620807647705	2.5795023149000585e-07
1031	ITFR	movielens	411	444	700	20	0.00037555972081837463	0.9753993873513056	39.2965154100075	284.6417092768444	0.9422534644879752	0.4953876770045858	0.3783783783783784	0.3969557285308838	1.2857534209831924e-07
1033	ITFR	movielens	411	444	700	20	0.000407624249494912	0.9739745875304232	44.33213255798954	299.5516191867543	0.9406732386669259	0.5031050239477989	0.4009009009009009	0.3957045078277588	1.2984521157861258e-07
1035	ITFR	movielens	411	444	700	20	0.0005942803148234531	0.971897897599044	50.89393422781379	327.50657414170934	0.9374592293410428	0.5116561022686946	0.3581081081081081	0.40256404876708984	1.3006004129408815e-07
1037	ITFR	movielens	411	444	700	20	0.0005808197714637582	0.9718449693473507	51.5529233192392	331.1642317993669	0.9370058174264003	0.5215075388784564	0.36486486486486486	0.3960278630256653	1.273348570922844e-07
1039	ITFR	movielens	411	444	700	20	0.00045725032874768313	0.9735066584415807	49.66570732811078	322.84891648405164	0.9371152086968136	0.5257940929099799	0.38963963963963966	0.3789362609386444	1.1813536945351263e-07
1041	ITFR	movielens	500	546	1000	20	0.0007200908665479275	0.9710969863755875	39.900205885222135	299.0289685894082	0.9438815804442063	0.4684557286861007	0.3608058608058608	0.36129751801490784	2.0426948627980216e-08
1043	ITFR	movielens	500	546	1000	20	0.0006400995747982298	0.9730560584053328	49.77239151536144	344.6846462450858	0.9348060269338898	0.5121335575463389	0.34615384615384615	0.3535948097705841	1.932913948251319e-08
1045	ITFR	movielens	500	546	1000	20	0.0009267879767724483	0.9687058086872974	41.36915276687997	324.5930711535107	0.937440349881676	0.49385156025585525	0.3663003663003663	0.3572399318218231	2.269086508797167e-08
1047	ITFR	movielens	500	546	1000	20	0.000736866854034389	0.9704976342005864	46.30087375831483	348.2194447798844	0.9377004854660612	0.48604944750682916	0.3498168498168498	0.3554636538028717	1.908995284660464e-08
1049	ITFR	movielens	500	546	1000	20	0.0008551630427158173	0.9682838637624015	42.56444334209651	318.6883092487488	0.9394360982442476	0.486817708745211	0.3717948717948718	0.36172524094581604	2.5169356713131325e-08
1051	ITFR	movielens	608	672	1500	20	0.0012629688484760034	0.9632095423363797	30.00331588758749	268.0861678004535	0.95502819504327	0.40129641776728564	0.3541666666666667	0.3109951615333557	7.189075972277361e-09
1053	ITFR	movielens	608	672	1500	20	0.0013199674856217744	0.9625206582822649	23.545349354027483	199.96712018140585	0.9623918097644191	0.37244793288833555	0.38839285714285715	0.31560224294662476	6.542395768379096e-09
1055	ITFR	movielens	608	672	1500	20	0.001367932535517972	0.9618424798261155	25.204125863675863	217.5921201814059	0.9600602494769302	0.38427666180998993	0.37648809523809523	0.3096804618835449	6.469850162893809e-09
1057	ITFR	movielens	608	672	1500	20	0.0011837605577113442	0.9627059303025364	25.980341182935177	215.08616780045347	0.9587855976779007	0.39437113176679905	0.37648809523809523	0.315672367811203	6.348657124601327e-09
