	Approach	Dataset	Users	Items	Interactions	k	Variance-NDCG	Variance-Exposure	Variance-ExposureEqWeight	Entropy	Gini	MMS	IIF
718	PCT	amazon	607	585	700	40	5.8437184055573886e-05	1325.3482610367278	19567.36451165169	0.6461581500243824	0.8405979458382417	0.08547008547008547	tensor(0.0014, dtype=torch.float64)
719	Baseline	amazon	825	769	1000	40		2266.2521452914225	31261.676414237656	0.5914149941055536	0.8765860924865464	0.055916775032509754	
720	PCT	amazon	825	769	1000	40	7.929667828019177e-05	1664.4553502984863	25330.93519187096	0.6541402544698737	0.8312990872186687	0.06762028608582575	tensor(0.0008, dtype=torch.float64)
721	Baseline	amazon	1156	1040	1500	40		3238.4046100432724	43279.12544378695	0.5802546690357965	0.889142845321367	0.047115384615384615	
722	PCT	amazon	1156	1040	1500	40	8.243850835590952e-05	2378.198413555711	36698.494674556205	0.6389612293144421	0.834737426036445	0.07019230769230769	tensor(0.0006, dtype=torch.float64)
723	Baseline	black_friday	282	261	300	40		691.6057285438807	8865.994451050337	0.7107847039903552	0.787760074618844	0.1839080459770115	
724	PCT	black_friday	282	261	300	40	5.642330591306978e-05	624.3975519224311	8474.346941471795	0.7290448457357291	0.7676790824191423	0.1839080459770115	tensor(0.0040, dtype=torch.float64)
725	Baseline	black_friday	328	305	350	40		854.0174140657238	11480.36366568127	0.675787444125129	0.8095006395096592	0.13442622950819672	
726	PCT	black_friday	328	305	350	40	4.639897034836125e-05	643.8671322442319	9239.143993550122	0.7370982686291614	0.7604868461944629	0.16393442622950818	tensor(0.0025, dtype=torch.float64)
727	Baseline	black_friday	367	346	400	40		948.4280618573591	12800.111831334161	0.6643003828009219	0.8217605265803737	0.12427745664739884	
728	Baseline	black_friday	455	426	500	40		1198.6717856333987	16279.143930877908	0.6441155550210954	0.8400081036220692	0.10093896713615023	
729	PCT	black_friday	455	426	500	40	5.080571417260972e-05	762.0443188617814	11752.608719610307	0.7339145999693094	0.7631761334752701	0.10093896713615023	tensor(0.0018, dtype=torch.float64)
730	Baseline	black_friday	611	546	700	40		1727.983237350578	23361.71620443049	0.6216520211943609	0.8601100235056669	0.07875457875457875	
731	PCT	black_friday	611	546	700	40	4.822477181203879e-05	1103.0946732158163	17168.287633001917	0.7095636984304811	0.7872456205500366	0.09157509157509157	tensor(0.0011, dtype=torch.float64)
732	Baseline	black_friday	841	716	1000	40		2516.779058624293	34637.58351799258	0.5967436927853361	0.8771077049186948	0.05865921787709497	
733	PCT	black_friday	841	716	1000	40	6.750556409815143e-05	1736.1835167094712	27497.56396491995	0.6691918054688527	0.817152348373379	0.06843575418994413	tensor(0.0011, dtype=torch.float64)
734	Baseline	black_friday	1166	948	1500	40		3607.7704338965355	50266.82143175063	0.5786255215996084	0.8895141590557625	0.046413502109704644	
735	PCT	black_friday	1166	948	1500	40	8.082768432955124e-05	1943.4077392590066	31985.44801402909	0.7075664167727357	0.771617057785888	0.08016877637130802	tensor(0.0009, dtype=torch.float64)
736	Baseline	movielens	236	241	300	40		508.9082578968666	7039.294709113132	0.7100421811981833	0.7741389865355879	0.17427385892116182	
737	PCT	movielens	236	241	300	40	0.00011656684358334641	411.7035555990291	6291.693049362098	0.7452327807851665	0.7320307154673205	0.1825726141078838	tensor(0.0025, dtype=torch.float64)
738	Baseline	movielens	266	277	350	40		584.7856280776457	7974.798133691302	0.6949678496356412	0.7936229092852188	0.1552346570397112	
739	PCT	movielens	266	277	350	40	8.844524842978037e-05	427.7999145356085	6661.910047048704	0.747711204173773	0.7352858330679889	0.1588447653429603	tensor(0.0026, dtype=torch.float64)
740	Baseline	movielens	291	305	400	40		647.8619528956033	8959.612469766193	0.6810558689147467	0.8058060570798532	0.13442622950819672	
741	PCT	movielens	291	305	400	40	7.825242547107349e-05	493.32079059885695	7617.337059930127	0.7271986537627098	0.7613561906825153	0.15081967213114755	tensor(0.0019, dtype=torch.float64)
742	Baseline	movielens	335	359	500	40		722.2699859550318	10184.53166874869	0.6680375016936719	0.8190812616513894	0.116991643454039	
743	PCT	movielens	335	359	500	40	6.190479003924376e-05	498.1210909354369	8031.852003010531	0.7369638009103587	0.7424215918081718	0.12813370473537605	tensor(0.0023, dtype=torch.float64)
744	Baseline	movielens	411	444	700	40		872.7043403686841	12589.990260530798	0.6516436897532879	0.83570566952033	0.0945945945945946	
745	PCT	movielens	411	444	700	40	0.00011459311368323715	496.99484551515945	8486.233503774043	0.7566547792279951	0.7201735514510963	0.11261261261261261	tensor(0.0020, dtype=torch.float64)
746	Baseline	movielens	500	546	1000	40		1038.373540054701	15006.22942747119	0.6403224348588804	0.8470224133222143	0.07875457875457875	
747	PCT	movielens	500	546	1000	40	0.0001738530624885565	337.5985283711716	6135.661661903422	0.8201433233896719	0.657646413584172	0.19597069597069597	tensor(0.0020, dtype=torch.float64)
748	Baseline	movielens	608	672	1500	40		1210.6180035338841	18289.26133786848	0.6268378089538397	0.8561525235378517	0.06398809523809523	
749	PCT	movielens	608	672	1500	40	0.00029926709106038046	200.7763403259092	3726.7464569160998	0.8819421764345848	0.5645751805368852	0.25892857142857145	tensor(0.0019, dtype=torch.float64)
750	Baseline	yelp	279	284	300	40		662.0108101659137	8911.553362428089	0.6821929870525338	0.7970725570581932	0.14084507042253522	
751	PCT	yelp	279	284	300	40	4.769407744158772e-05	545.3146953438574	7882.518151160483	0.7176787604055992	0.769948539327594	0.15140845070422534	tensor(0.0024, dtype=torch.float64)
752	Baseline	yelp	322	323	350	40		776.6382596087544	10527.062063280582	0.6699048662292295	0.8117030926486006	0.13003095975232198	
753	PCT	yelp	322	323	350	40	4.980867482350882e-05	662.5078557103401	9501.885592692348	0.7032813592464768	0.7872211304067759	0.13622291021671826	tensor(0.0021, dtype=torch.float64)
754	Baseline	yelp	367	368	400	40		917.4936733857252	12381.74362003781	0.6545554599331551	0.8250306854098626	0.11413043478260869	
755	Baseline	yelp	452	456	500	40		1121.6243083402023	15345.894429055093	0.6348338458180633	0.8418530272853186	0.08991228070175439	
756	PCT	yelp	452	456	500	40	4.291592427822689e-05	839.4973144031538	12721.547937827023	0.6920918230575538	0.7991952929910837	0.10526315789473684	tensor(0.0015, dtype=torch.float64)
757	Baseline	yelp	618	619	700	40		1589.5666147856723	21799.79227009012	0.6062367458806168	0.8628623582960807	0.06785137318255251	
