	Approach	Dataset	Users	Items	Interactions	k	Variance-NDCG	Variance-Exposure	Variance-ExposureEqWeight	Entropy	Gini	MMS	IIF
0	Baseline	amazon	279	269	300	20		499.7355381920396	4521.737178867069	0.6110658074564872	0.8033515874991917	0.08921933085501858	
1	Fair reciprocal	amazon	279	269	300	20	0.00012440942910885104	556.5866064079289	5029.172123104986	0.5863848334646156	0.8071248184050682	0.07434944237918216	tensor(0.0022, dtype=torch.float16)
2	Baseline	amazon	324	311	350	20		607.848237189503	5704.677288282794	0.5817844326455526	0.8137915008053265	0.06752411575562701	
3	Fair reciprocal	amazon	324	311	350	20	0.00012785956755663856	654.9315915052539	5930.214265774754	0.5733996147517396	0.8161088065837887	0.06430868167202572	tensor(0.0019, dtype=torch.float16)
4	Baseline	amazon	366	353	400	20		681.7759279731063	6415.536823182917	0.5736525770510522	0.8196513193173498	0.059490084985835696	
5	Baseline	amazon	453	436	500	20		862.3821667096826	8109.790968773671	0.5554090476954702	0.8303890481467144	0.0481651376146789	
6	Baseline	amazon	607	585	700	20		1131.854426997483	10592.401811673604	0.5427713522638775	0.8411970583331077	0.041025641025641026	
7	Baseline	amazon	825	769	1000	20		1607.9121667585246	15331.93080707047	0.518841894120431	0.8522399615995727	0.02860858257477243	
8	Baseline	amazon	1156	1040	1500	20		2314.5021762575775	21491.74866863905	0.5106134624795534	0.8612189322818892	0.023076923076923078	
9	Baseline	black_friday	282	261	300	20		535.0712829495849	4841.387501651474	0.6105108821173276	0.8043198292931005	0.08812260536398467	
10	Fair reciprocal	black_friday	282	261	300	20	0.0001406963810509648	586.2541177484414	5288.0158541418905	0.5886486544207663	0.8080706787207708	0.07662835249042145	tensor(0.0036, dtype=torch.float16)
11	Baseline	black_friday	328	305	350	20		632.6238953530302	5925.023703305562	0.5847250139941322	0.8148100196669298	0.06885245901639345	
12	Fair reciprocal	black_friday	328	305	350	20	0.00013443527018298414	684.9368778509992	6196.64337543671	0.5746253167831881	0.8170792316807715	0.06557377049180328	tensor(0.0031, dtype=torch.float16)
13	Baseline	black_friday	367	346	400	20		708.6301556663492	6624.867553209263	0.5736432425059353	0.8218962738305975	0.06069364161849711	
14	Baseline	black_friday	455	426	500	20		889.6668879735975	8379.151006193655	0.5560840219813549	0.8317177277953972	0.04929577464788732	
15	Baseline	black_friday	611	546	700	20		1216.8855114166288	11228.766963195532	0.550366340256212	0.843822763397379	0.04395604395604396	
16	Baseline	black_friday	841	716	1000	20		1803.2068993305058	17198.227583408756	0.5217325098657299	0.8567362120740387	0.030726256983240222	
17	Baseline	black_friday	1166	948	1500	20		2575.455851794754	24923.10514696719	0.507505208928632	0.8654898368334175	0.023206751054852322	
18	Baseline	movielens	236	241	300	20		387.6624853641655	3756.574714622683	0.6136523136703251	0.7938706225701994	0.08713692946058091	
19	Fair reciprocal	movielens	236	241	300	20	0.00023708325348407763	412.7765413780978	3902.0435942907334	0.6050958903035278	0.7943797675847275	0.08298755186721991	tensor(0.0017, dtype=torch.float16)
20	Baseline	movielens	266	277	350	20		425.57596295463577	4008.9287753000826	0.612446491647779	0.8029946944131615	0.08664259927797834	
21	Fair reciprocal	movielens	266	277	350	20	0.000205404399211195	455.2814230980392	4347.968486491418	0.593882508264548	0.8022965344666902	0.07220216606498195	tensor(0.0014, dtype=torch.float16)
22	Baseline	movielens	291	305	400	20		472.83615954787007	4561.616232195645	0.5961647845120623	0.8114019096130924	0.06885245901639345	
